epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2565,1.57748,2.50501,1.32163,0.70761,0.85236,0.76469,0.43129,1.42037,1.10163,1.29241,0.000543319,0.000543319,0.000543319
2,42.3086,1.38542,1.07874,1.19791,0.76896,0.80588,0.82951,0.46835,1.52781,0.96635,1.3091,0.00107723,0.00107723,0.00107723
3,62.7053,1.40607,0.99602,1.19154,0.69634,0.62598,0.62399,0.36511,1.52764,1.44933,1.33724,0.00158913,0.00158913,0.00158913
