epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.65,1.54764,2.17421,1.3124,0.42884,0.55403,0.418,0.23348,1.41061,1.4241,1.24175,0.00054409,0.00054409,0.00054409
2,1021.33,1.42849,1.32613,1.24716,0.40376,0.48662,0.37279,0.2023,1.49128,1.89649,1.42636,0.00108887,0.00108887,0.00108887
3,1536.74,1.45361,1.29548,1.28476,0.14189,0.16649,0.06191,0.02942,2.35528,3.96655,2.35012,0.00162265,0.00162265,0.00162265
4,2071.97,1.43149,1.31776,1.25614,0.39652,0.57481,0.44322,0.2575,1.43659,1.51593,1.32594,0.00161749,0.00161749,0.00161749
